startup_name,founder,idea,founded_year,city,industry,first_funding_year,first_funding_amount,major_investors,growth_story,current_status
Flipkart,Sachin Bansal; Binny Bansal,Build an online marketplace that makes buying products easier and more accessible across India.,2007,Bengaluru,E-commerce,2008,,Accel; Tiger Global; Walmart,Started as an online bookstore and expanded into a large Indian e-commerce marketplace.,Major Indian e-commerce company
Swiggy,Sriharsha Majety; Nandan Reddy; Rahul Jaimini,Use technology to connect customers with restaurants and enable convenient food delivery.,2014,Bengaluru,Foodtech,2015,,Prosus; SoftBank; Accel,Expanded from food delivery into a broader convenience platform including quick commerce.,Publicly listed technology and food delivery company
PhonePe,Sameer Nigam; Rahul Chari; Burzin Engineer,Make digital payments and financial services simple through a mobile-first platform.,2015,Bengaluru,Fintech,2015,,Walmart; General Atlantic; Ribbit Capital,Grew from digital payments into a broad financial-services platform.,Major Indian digital payments and fintech company
Razorpay,Harshil Mathur; Shashank Kumar,Simplify online payments and financial infrastructure for businesses.,2014,Bengaluru,Fintech,2015,,Sequoia Capital India; GIC; Lightspeed,Expanded from online payment processing into a wider business-finance platform.,Major Indian fintech company
Zerodha,Nithin Kamath; Nikhil Kamath,Reduce barriers to stock-market participation through technology and lower-cost brokerage.,2010,Bengaluru,Fintech,2010,,Bootstrapped; Rainmatter ecosystem,"Built a large retail-investing platform through technology, low-cost brokerage and investor education.",Major Indian stock brokerage; privately held
Zomato,Deepinder Goyal; Pankaj Chaddah,Help users discover restaurants and order food through a digital platform.,2008,Gurugram,Foodtech,2010,,Info Edge; Sequoia Capital India; Ant Financial,Evolved from restaurant discovery into food delivery and a broader consumer internet business.,Publicly listed consumer internet company
OYO,Ritesh Agarwal,Standardize and make budget accommodation easier to discover and book through technology.,2013,Gurugram,Hospitality,2013,,SoftBank; Sequoia Capital India; Lightspeed,Expanded from budget hotel aggregation into a technology-enabled hospitality network across multiple markets.,Hospitality technology company
Lenskart,Peyush Bansal; Amit Chaudhary; Sumeet Kapahi,Make eyewear easier to buy through a technology-driven omnichannel model.,2010,Gurugram,Retail / Eyewear,2010,,SoftBank; Temasek; KKR,Built an omnichannel eyewear business combining online discovery with a large physical retail presence.,Major Indian eyewear retail company
CRED,Kunal Shah,Reward responsible credit-card users and build a trusted consumer-finance ecosystem.,2018,Bengaluru,Fintech,2018,,Sequoia Capital India; Tiger Global; Falcon Edge,Expanded from credit-card rewards into additional consumer financial products and services.,Private Indian fintech company
Meesho,Vidit Aatrey; Sanjeev Barnwal,Enable small businesses and individual entrepreneurs to sell products online to a broad customer base.,2015,Bengaluru,E-commerce / Social Commerce,2016,,SoftBank; Sequoia Capital India; Y Combinator,Grew from a social-commerce model into a large marketplace serving sellers and customers across India.,Major Indian e-commerce marketplace
